Course Title,Rating
Designing Learning Innovation,2
Designing Learning Innovation: an introduction,2
Designing User Interfaces and Experiences (UI/UX),2
Designing Your Personal Weight Loss Plan,1
Designing and Building Institutional Anti-Racist Spaces,1
Designing data-intensive applications,1
Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),1
Detect Fake News in Python with Tensorflow ,1
"Detect Labels, Faces, and Landmarks in Images with the Cloud Vision API",1
Detect and Mitigate Ethical Risks,1
Detecting and Mitigating Cyber Threats and Attacks,1
DevOps Culture and Mindset,1
DevOps for Network Automation (NetDevOps),1
DevOps on AWS Specialization,3
DevOps on AWS and Project Management,1
"DevOps on AWS: Code, Build, and Test",1
DevOps on AWS: Operate and Monitor,1
DevOps on AWS: Release and Deploy,1
"DevOps, Cloud, and Agile Foundations Specialization",3
"DevOps, DataOps, MLOps",1
DevOps: Introduction to Developer Operations Specialization,1
Develop Clustering Models with Azure ML Designer,1
Develop a business presentation with Prezi,1
Develop a free website with WordPress,2
Developing AI Applications on Azure,1
Developing AI Applications with Python and Flask,2
Developing APIs with Google Cloud's Apigee API Platform Specialization,2
Developing Applications in Python on AWS,1
Developing Applications with Cloud Functions on Google Cloud,1
Developing Applications with Cloud Run on Google Cloud: Fundamentals,1
Developing Applications with Google Cloud Specialization,2
Developing Back-End Apps with Node.js and Express,1
Developing Cloud Apps with Node.js and React,1
Developing Data Models with LookML,2
Developing Data Products,1
Developing Front-End Apps with React,2
Developing Innovative Ideas for Product Leaders,2
Developing Interpersonal Skills ,1
Developing Your Musicianship,1
Developing Your Musicianship Specialization,1
Developing Your Musicianship: Final Project,1
Developing a Google SRE Culture,1
Developing a Marketing Mix for Growth,1
Developing an Agile Team,1
Developing the SIR Model,1
Development of Secure Embedded Systems Specialization,2
Developments of structural dynamics,1
Devenir entrepreneur du changement,2
Diabetes - a Global Challenge,1
Diabetes Prediction With Pyspark MLLIB,1
Diabetes – the Essential Facts,1
Diagnosing Health Behaviors for Global Health Programs,1
Diagnóstico y tratamiento del dolor neuropático en atención primaria,1
Die Bits und Bytes von Computernetzwerken,1
Differential Calculus through Data and Modeling Specialization,4
Differential Equations Part I Basic Theory,1
Differential Equations Part II Series Solutions,1
Differential Equations Part III Systems of Equations ,1
Differential Equations for Engineers,1
"Digestion, Micturition, and Reproduction",1
Digital Business - Capstone project,1
Digital Business - Understand the digital world,3
Digital Business Marketing with Easil,1
Digital Business Models,1
Digital Business Specialization,1
Digital Business Strategy,1
Digital Channel Planning and E-Commerce Strategy,1
Digital Communication and Emotion,3
Digital Content Planning and Management,1
Digital Creativity,2
Digital Fashion Innovation Specialization,1
Digital Fashion Mindset,1
Digital Fashion Reality,1
Digital Footprint,4
Digital Forensics Concepts,1
Digital Forensics Essentials (DFE),2
Digital Governance,4
Digital Health Specialization,2
Digital Information Literacy,1
Digital Intelligence for Everyone Specialization,1
Digital Manufacturing & Design,1
Digital Manufacturing & Design Technology  Specialization,4
Digital Marketing Analytics in Theory,2
Digital Marketing Specialization,1
Digital Marketing Strategy and Planning Specialization,1
Digital Media and Marketing Principles,1
Digital Media and Marketing Strategies,2
"Digital Media for Health Outcomes, English",1
Digital Product Management Specialization,3
Digital Product Management: Modern Fundamentals,3
Digital Safety and Security,3
Digital Signal Processing 1: Basic Concepts and Algorithms,4
Digital Signal Processing 2: Filtering,1
Digital Signal Processing 3: Analog vs Digital,1
Digital Signal Processing 4: Applications,1
Digital Signal Processing Specialization,4
Digital Strategy and Business Opportunity,1
Digital Systems: From Logic Gates to Processors,3
Digital Technologies and the Future of Manufacturing  Specialization,2
Digital Thread: Components,1
Digital Thread: Implementation,1
Digital Tools and Well-Being,3
Digital Transformation,1
Digital Transformation Using AI/ML with Google Cloud Specialization,1
Digital Transformation in Financial Services Specialization,1
Digital Transformation with Google Cloud,1
Digital Transformation with Google Cloud - Français,1
Digital Twins,1
Digital business - Act on the digital world,1
Digital business - Grow on digital world,1
Digitales Business Marketing mit Easil,1
Digitalisation in Aeronautics,1
Digitalisation in Aeronautics and Space Specialization,1
Digitalisation in Space Research,1
Digitalisation in the Aerospace Industry,1
Dimensiones de la infraestructura sostenible en un proyecto,1
Dino 101: Dinosaur Paleobiology,2
Dinámica de fluidos computacional aplicada,1
Diode - pn Junction and Metal Semiconductor Contact,1
Dirección y Gestión de Negocios Specialization,6
Disability Awareness and Support,2
Disability Inclusion in Education: Building Systems of Support ,2
Disaster Preparedness,1
Disaster Risk Management and Korean Policies,1
Discover Acting,1
Discover Best Practice Farming for a Sustainable 2050,1
Discrete Mathematics,1
Discrete Optimization,2
Disease Clusters,1
Disease Screening in Public Health,1
Diseñando bots con Azure Health Bot,1
Diseñar una experiencia del usuario de una iniciativa de interés público y prepararse para el trabajo,1
Diseño Instruccional: Aprendizaje activo y Pedagogía digital Specialization,2
Diseño de Actividades con PhET para la Educación STEM,1
Diseño de Experiencia del Usuario (UX) de Google Professional Certificate,3
Diseño de Proyectos de Desarrollo,2
Diseño de cuestionarios para encuestas sociales,1
Diseño de proyectos de gobierno digital,2
Diseño de proyectos para promover el bienestar,1
Diseño instruccional para el aprendizaje activo ,2
Diseño y Creación de videojuegos Specialization,1
Diseño y Gestión de Proyectos de Desarrollo Specialization,2
Diseño y optimización de un modelo de datos en Power BI,1
Displays,1
Distribución digital de la música independiente,1
Distributed Computing with Spark SQL,1
Distributed Image Processing in Cloud Dataproc,1
Distributed Machine Learning with Google Cloud ML,1
Diversity and Belonging in Businesses and Organizations,1
Diversity and Inclusion for HR Professionals,2
Diversity and Inclusion in Education,3
Diversity and inclusion in the workplace,2
Diversity with Inclusion in Organizations,2
"Diversity, Equity & Inclusion",1
"Diversity, Equity, and Inclusion for Organizational Leaders Specialization",3
Diversité et inclusion sur le lieu de travail ,1
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",3
Diálisis peritoneal,1
Django Application Development with SQL and Databases,1
Django Web Framework ,3
Django for Everybody Specialization,2
Docencia con pedagogía activa mediada con tecnología digital,1
Docencia para la capacitación laboral y el aprendizaje a lo largo de la vida.,2
Docker Essentials & Building a Containerized Web Application,1
Docker for absolute beginners,1
Dog Emotion and Cognition,3
Doing Business in China Capstone,1
Doing Business in China Specialization,1
Doing Business in Europe,1
Doing Business in Latin America,1
Doing more with Google Sheets,1
Dominant Risk Management Standards and Frameworks,1
Données et Gouvernance Urbaine,2
"Dopage : Sports, Organisations et Sciences",3
"Doping : Sports, Organizations and Sciences",2
Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators,1
"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications",1
Driving business towards the Sustainable Development Goals,3
Droit International de l'Eau Douce,3
Drones for Environmental Science,1
Drug Commercialization ,1
Drug Development,2
Drug Development Product Management Specialization,2
Drug Discovery ,1
"Drugs, drug use, drug policy and health ",3
"Dynamic Programming, Greedy Algorithms",1
Dynamic Public Speaking Specialization,4
Dynamical Modeling Methods for Systems Biology,1
Dynamique des fluides numérique appliquée,2
"Début du processus de conception UX : Empathie, définition et formulation d’idées",1
Démarrer avec Facebook Business Manager,1
Dénommer le monde : la politique des toponymes,2
Déployer des conteneurs Docker avec Amazon ECS et Fargate,1
Déployer l'économie circulaire dans les organisations,1
Développement psychologique de l'enfant,2
E-Business: Negocios Online,1
E-Marketing Specialization,1
EDIVET: Do you have what it takes to be a veterinarian?,1
ELL Success in the Content Classroom: Capstone Project,1
EMT Foundations,1
ERPO: A Civil Approach to Gun Violence Prevention Teach-Out,1
ESG Impact: Investor Perspective,1
ESG Investing: Financial Decisions in Flux Specialization,2
ESG Risks and Opportunities,1
ESG and Climate Change,1
ESG and Social Activism,1
"ETL and Data Pipelines with Shell, Airflow and Kafka",4
EU policy and implementation: making Europe work! ,2
EV Evolution: Comprehensive Introduction to EVs,1
Earth Economics,5
Easing Physical Symptoms: It's Not Just Hospice Anymore,1
"Easing the burden of obesity, diabetes and cardiovascular disease",4
East Asian Religions & Ecology,1
Ebola : Vaincre ensemble !,1
Ebola Virus Disease: An Evolving Epidemic,1
Ebola: Essential Knowledge for Health Professionals,2
Ecological and Energy Transitions in Southern Countries,3
Ecologie Politique: défi de la durabilité pour les démocraties,1
Ecology: Ecosystem Dynamics and Conservation,1
Econometria Básica Aplicada,2
Econometrics for Economists and Finance Practitioners Specialization,3
Econometrics: Methods and Applications,1
Economic Growth and Distributive Justice Part I - The Role of the State,2
Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing,2
Economics and Policies of Climate Change,2
Economics of Money and Banking,3
"Economics: Society, Markets, and [In]equality",2
Economie du sol et de l'immobilier I,3
Economie du sol et de l'immobilier II,2
Economía del Cambio Climático,2
Economía y Finanzas de Empresas,2
Ecosystem Services: a Method for Sustainable Development,4
Ecosystems of California,1
Edible Insects,1
Edit your photos for Social Media with Easil,1
Edita tus fotos para las redes sociales con Easil,1
Editing Table of Content and Layouts in Microsoft Word,1
Educación Matemática para profesores de infantil. Curso 1,1
Educación Matemática para profesores de infantil. Curso 2,1
Educación Social: Ámbitos de acción y reflexión,2
Educación ambiental para la biodiversidad,2
Educación en Contextos Rurales: Perspectivas en América Latina,2
Educación sobre cambio climático: agua y suelos,1
Educación sobre cambio climático: energía y huella ecológica,2
Educación sobre cambio climático: entornos sostenibles,1
Educating Deaf Children: Becoming an Empowered Teacher,3
"Education on climate change, energy and ecological footprint",2
Education on climate change: water and soil,2
Efectos de audio y automatizaciones,1
Effective Altruism,1
Effective Business Presentations with Powerpoint,2
Effective Communication in the Globalised Workplace - The Capstone,1
Effective Communication in the Globalised Workplace Specialization,4
"Effective Communication: Writing, Design, and Presentation Specialization",6
Effective Compliance Programs,2
Effective Engagement of Civil Society in Development,1
Effective Onboarding,1
Effective Problem-Solving and Decision-Making,1
Effective Programming in Scala,3
Effective Sales – An Overview,2
Effective Service Innovation by Design in Hotel Management ,1
Effectively delivering the news to your audience,1
Egiptología (Egyptology),1
Egypt before and after pharaohs. ,1
Eine Einführung in die Finite Elemente Methode mit SimScale,1
El ABC de la sostenibilidad ,2
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,1
El Holocausto: el abismo de la humanidad,1
El Músico Moderno Specialization,1
El Valle de los Reyes,1
El desafío de Innovar en la Educación Superior,2
El liderazgo del director de proyectos,1
El rol docente del médico residente,1
El trabajo por proyectos en escuelas de contextos rurales,1
"El águila, el nopal y ¿la serpiente?",1
Elastic Cloud Infrastructure: Scaling and Automation 日本語版,1
Elastic Google Cloud Infrastructure: Scaling and Automation,1
Electric Industry Operations and Markets,2
Electric Power Systems,1
Electric Utilities Fundamentals and Future,2
Electric Vehicle Sensors,1
Electric Vehicles and Mobility,1
Electrical Characterization: Diodes,1
Electrical Characterization: MOSFETs,1
Electrical Power Distribution,1
Electrical Power Generation - An Industrial Outlook,1
Electrical Properties and Semiconductors,1
Electrodynamics  Specialization,2
Electrodynamics: An Introduction,1
Electrodynamics: Analysis of Electric Fields,2
Electrodynamics: Electric and Magnetic Fields,2
Electrodynamics: In-depth Solutions for Maxwell’s Equations,2
Electron and Ion Beam Characterization,1
Electrones en Acción: Electrónica y Arduinos para tus propios Inventos,1
Electronic Music Performance Techniques,1
Electronic Music Production Specialization,1
Electrónica Digital Bit a Bit: Diseñando en Verilog para FPGA,1
"Electrónica Digital Bit a Bit: Fundamentos, Verilog y FPGA",1
Electrónica en cápsulas Specialization,1
Embajador de la Vacuna COVID: Cómo Hablar con los Padres,1
Embedded Hardware and Operating Systems,1
Embedded Interface Design Specialization,2
Embedded Software and Hardware Architecture,3
Embedding Sensors and Motors Specialization,3
Emergence of Life,3
"Emergency Care: Pregnancy, Infants, and Children",1
Emergent Phenomena in Science and Everyday Life,1
Emerging Trends & Technologies in the Virtual K-12 Classroom,2
Emotional Intelligence: Cultivating Immensely Human Interactions,3
Emotional and Social Intelligence,4
Emotions: a Philosophical Introduction,2
Empathy for Self and Others,1
Employee Attrition Prediction Using Machine Learning,1
Employee Relations,1
Empowering Yourself in a Post-Truth World,1
Encoder-Decoder Architecture,1
Encouraging Student Collaboration with Padlet,2
Encouraging Student Growth with Teach Your Monster to Read,1
Endpoints and Systems,1
Energy Harvesting,1
Energy Justice: Fostering More Equitable Energy Futures,1
"Energy Production, Distribution & Safety Specialization",1
Energy and Environment,1
Energy management for real estate. Methods and digital tools,3
"Energy, Environment, and Everyday Life",4
Energy: The Enterprise,1
Enfermedad respiratoria crónica. Asma - EPOC,1
Engage and Assess Students with Quizizz,1
Engage your niche on social media: visual stories with Canva,2
Engaging ELLs and Their Families in the School and Community,1
Engaging and Assessing  Students with Plickers,1
Engaging in Enterprise Growth and Innovation,1
Engaging in Persuasive and Credible Communication,1
Engaging in Strategic Management in Healthcare Organizations,1
Engineering Design Process with Autodesk Fusion 360,1
Engineering Genetic Circuits: Design,2
Engineering Genetic Circuits: Modeling and Analysis,1
Engineering Health: Introduction to Yoga and Physiology,2
"Engineering Life: Synbio, Bioethics & Public Policy",2
Engineering Project Management Specialization,1
Engineering Project Management: Initiating and Planning,1
"Engineering Project Management: Scope, Time and Cost Management",1
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,3
Engineering and Product Design Processes,1
Engineering of Structures: Compression,1
Engineering of Structures: Response of Structures,1
Engineering of Structures: Shear and Bending,1
Engineering of Structures: Tension,1
Engineering of Structures: Tension and Compression,1
English Composition I,3
English Language Skills A2-B1 CEFR: Low-Intermediate Specialization,1
English Lower Intermediate B1.1,1
English for Business and Entrepreneurship,2
English for Career Development,1
English for Developing a Business,1
English for Effective  Business Writing,1
English for Effective Business Communications,2
English for Effective Business Speaking,1
English for Running a Successful Business,1
"English for Science, Technology, Engineering, and Mathematics",1
English for Teaching Purposes,1
Enhance Student Learning with Interactive Lessons in Nearpod,2
Enhancing Communication with Remind,2
Enseignes et afficheurs à LED,1
Enseñanza de las matemáticas de primaria,1
"Enseñar, aprender y evaluar en Escuelas Rurales",1
Ensino Híbrido: Personalização e Tecnologia na Educação,2
Entendiendo la depresión a lo largo del ciclo vital,1
Enterprise Database Migration,1
Enterprise System Management and Security ,1
Enterprise Systems,4
Entity and Sentiment Analysis with the Natural Language API,1
Entreprendre dans les Industries Culturelles à l'ère du numérique,2
Entrepreneurial Finance: Strategy and Innovation Specialization,1
Entrepreneurship 1: Developing the Opportunity,2
Entrepreneurship 2: Launching your Start-Up,1
Entrepreneurship Specialization,2
Entrepreneurship Strategy: From Ideation to Exit,4
Entrepreneurship: Growing Your Business Specialization,5
Entrepreneurship: Launching an Innovative Business Specialization,2
Entreprise et changement climatique,1
Environmental Hazards and Global Public Health,2
Environmental Health: the Foundation of Global Public Health,2
Environmental Management & Ethics,1
Environmental Science,1
Envisioning Educational Transformation,3
Epidemics,2
Epidemics - the Dynamics of Infectious Diseases,4
Epidemiology for Public Health Specialization,2
Epidemiology in Public Health Practice Specialization,1
Epidemiology: The Basic Science of Public Health,1
Epigenetic Control of Gene Expression,2
"Equilibrio, ¿por qué se caen las cosas?",1
Equine Welfare and Management,1
Equivalent Circuit Cell Model Simulation,2
Erste Schritte in Instagram for Business,1
Erstelle Organisationsvorlagen in Trello,1
Erstelle einen Instagram Business Account,1
Escalamiento exitoso e Innovación en los Negocios,1
Escola 4.0 Educação e Cultura Maker no Contexto da Nova BNCC,2
Escritura académica. Estilos de citación y referenciación.,2
Esports Specialization,1
Essential Causal Inference Techniques for Data Science,1
Essential Cloud Infrastructure: Core Services 日本語版,1
Essential Cloud Infrastructure: Foundation - Español,1
Essential Cloud Infrastructure: Foundation - 日本語版,1
Essential English for Business Professionals Specialization,2
Essential Epidemiologic Tools for Public Health Practice,3
Essential Google Cloud Infrastructure: Core Services,1
Essential Google Cloud Infrastructure: Foundation,1
Essential Linear Algebra for Data Science,2
Essential Skills for Your Career Development,1
Essentials for English Speeches and Presentations  英语演讲与演示,1
Essentials in Clinical Simulations Across the Health Professions,2
Essentials of Corporate Finance Specialization,1
Essentials of Global Health,3
Essentials of Management and Strategic Planning,1
Essentials of Palliative Care,1
Establishing Command-and-Control and Finding Credentials,1
Establishing Product-Market Fit,1
Establishing a Professional ‘Self’ through Effective Intercultural Communication,1
Estadística y probabilidad,1
Estilos de Liderazgo: opciones para avanzar en desafíos complejos,1
Estimación de la línea base de tiempos y costos,1
Estrategia de IT centrada en el cliente,1
Estrategias de Negociación Specialization,1
Estrategias para desarrollar el talento en organizaciones,1
Estrategias para ganar. Meteorología en la vuelta al mundo,1
Estrategias para la innovación: Ciudades hidro-inteligentes,1
Estrutura e Funcionamento das Redes de Computadores,1
Ethical Hacking Essentials (EHE),1
Ethical Issues in AI and Professional Ethics,1
Ethical Issues in Computing Applications,1
Ethical Issues in Data Science,1
Ethical Leadership Specialization,1
Ethical Leadership Through Giving Voice to Values,1
Ethical Social Media ,2
Ethics in Engineering,2
Ethics in Public Policy,2
Ethics in the Age of AI Specialization,1
Ethics of Artificial Intelligence,1
Ethics of Psychological Research,1
"Ethics, Technology and Engineering ",4
Ethnic Minorities and Race,2
Etkili Konuşma (Effective Speaking),1
Etkili Konuşmada Retorik (Rhetoric in Effective Speaking),1
European Business Law  Specialization,5
European Business Law: Competing in Europe,1
European Business Law: Doing Business in Europe,1
European Business Law: Understanding the Fundamentals,2
"European Citizenship – Development, Scope, and Challenges",3
Evaluación auténtica,2
Evaluación de Proyectos de Inversión,1
Evaluación de peligros y riesgos por fenómenos naturales,3
Evaluación del Aprendizaje en Escenarios Clínicos,1
Evaluación del y para el aprendizaje en educación universitaria,2
Evaluación del y para el aprendizaje: enfoque cualitativo,2
Evaluación del y para el aprendizaje: enfoque cuantitativo,2
Evaluación educativa Specialization,2
Evaluating Large-Scale Health Programs Specialization,1
Evaluating Problems,3
Evaluating Public Health Programs at Scale,1
Evaluating Student Understanding with Socrative,2
Evaluating User Interfaces,1
Evaluating the Quality of Healthcare Delivery,1
Evaluation of Digital Health Interventions,1
Evaluations of AI Applications in Healthcare,2
Everyday Chinese Medicine,1
Everyday Chinese Medicine 2,1
Everyday Excel Specialization,2
"Everyday Excel, Part 1",3
"Everyday Excel, Part 2",1
Everyday Parenting: The ABCs of Child Rearing,1
Evidence-based Toxicology,2
Evolución: Teoría sintética,1
Evolution Today ,1
Evolution: A Course for Educators,1
Exam Prep AI-102: Microsoft Azure AI Engineer Associate,1
Exam Prep AZ-104: Microsoft Azure Administrator Associate Specialization,1
Exam Prep AZ-500:Microsoft Azure Security Engineer Associate Specialization,1
Exam Prep CJE: Certified Jenkins Engineer,1
Exam Prep CKA: Certified Kubernetes Administrator,2
Exam Prep MLS-C01: AWS Certified Specialty Machine Learning Specialization,1
Exam Prep: AWS Certified Cloud Practitioner Foundations,1
Exam Prep: AWS Certified Solutions Architect - Associate,1
Exam Prep: HashiCorp Certified Terraform Associate (003),1
Excel Basics for Data Analysis,1
Excel Essentials and Beyond,1
Excel Fundamentals for Data Analysis,1
Excel Power Tools for Data Analysis,1
Excel Regression Models for Business Forecasting,1
Excel Skills for Business Forecasting Specialization,2
Excel Skills for Business Specialization,2
Excel Skills for Business: Advanced,1
Excel Skills for Business: Essentials,1
Excel Skills for Business: Intermediate I,1
Excel Skills for Business: Intermediate II,2
Excel Skills for Data Analytics and Visualization Specialization,3
Excel Time Series Models for Business Forecasting,1
Excel aplicado a los negocios (Nivel Avanzado),1
Excel for Beginners: Beginner Functions,1
Excel for Beginners: Introduction to Spreadsheets,1
Excel for Beginners: Pivot Tables,1
Excel to MySQL: Analytic Techniques for Business Specialization,3
Excel/VBA for Creative Problem Solving Specialization,2
"Excel/VBA for Creative Problem Solving, Part 1",3
Excellence in Online Teaching,2
"Execution, persistence, privilege escalation and evasion",1
Executive Data Science Capstone,1
Executive Data Science Specialization,3
Exercer son esprit critique à l’ère informationnelle,2
Expanding SEL,2
Experiencing Design: Deepening Your Design Thinking Practice,1
Experimental Design Basics,2
Experimental Methods in Systems Biology,1
Experiments and Variations in Bipedalism,1
Explainable deep learning models for healthcare - CDSS 3,1
Exploración centrada en el paciente,1
Explorando la Energía Sustentable,1
Explorando os recursos educacionais da Khan Academy,1
Exploratory Data Analysis With Python and Pandas,1
Exploratory Data Analysis for Machine Learning,2
Explore Adobe Spark while creating Social Stories Highlights,2
Explore Core Data Concepts in Microsoft Azure,2
Explore Einstein's theories of Relativity using Wolfram ,1
Exploring Beethoven's Piano Sonatas Part 3,2
Exploring Beethoven's Piano Sonatas Part 4,1
Exploring Beethoven's Piano Sonatas Part 5,1
Exploring Beethoven's Piano Sonatas Part 6,1
Exploring Beethoven’s Piano Sonatas,1
Exploring Beethoven’s Piano Sonatas Part 2,2
Exploring Data Transformation with Google Cloud,1
Exploring Emerging Technologies for Lifelong Learning and Success,1
Exploring Light: Hands-on Activities and Strategies for Teachers,2
Exploring Our Responses to Climate Change Specialization,1
Exploring Piano Literature: The Piano Sonata Specialization,1
Exploring Quantum Physics,2
Exploring Renewable Energy Schemes,1
Exploring and Producing Data for Business Decision Making,1
Exploring concepts of Optics using Wolfram notebook,1
Exploring fluid mechanics using Wolfram notebook,1
Exploring the Origins of Selfhood,1
Expressway to Data Science: Essential Math Specialization,2
Expressway to Data Science: Python Programming Specialization,4
Expressway to Data Science: R Programming and Tidyverse Specialization,4
Extended Reality for Everybody Specialization,1
"Extinctions: Past, Present, & Future",1
Extracellular Vesicles in Health and Disease,1
"Extract, Transform and Load Data in Power BI",1
"FEM - Linear, Nonlinear Analysis & Post-Processing",1
FL Studio Basics,1
FPGA Capstone:  Building FPGA Projects,1
FPGA Design for Embedded Systems Specialization,3
FPGA Softcore Processors and IP Acquisition,2
Fabrication additive : l'impression 3D dans l'industrie,1
Facebook Business pour les débutants,1
Faire preuve de prudence : gestion des risques de sécurité,1
Family Spirit Nurture,1
Fandom and Popular Culture in the Digital Age Specialization,1
"Fandom, Community, and Identity in Popular Music",1
"Fandom, Social Media, and Authenticity in the Digital Age",1
Farmacología para odontólogos,1
Farmacovigilancia ocular,1
Fashion Design,3
Fashion Retail Transformation,1
Fashion Systems,1
Fashion as Design,1
"Faster Together, Enhancing the Recruitment of Marginalized Communities in Clinical Trials",2
Fazer perguntas para tomar decisões com base em dados,2
"Federal Taxation I: Individuals, Employees, and Sole Proprietors",3
Federal Taxation II: Property Transactions of Business Owners and Shareholders,2
Feedback Loops: Feedback Fundamentals ,1
Feedback Loops: Horizontal Feedback ,1
Feedback Loops: How to Give & Receive High-Quality Feedback Specialization,1
Feedback Loops: Team Feedback,1
Feedback Loops: Vertical Feedback ,1
Feedback and Coaching For Everyone Specialization,1
Feeding the World,1
Felicidad y Calidad de Vida ,1
Felicidad y Políticas Públicas,1
Feminism and Social Justice,1
"Feminismo, género y política",2
Ferrous Technology I,1
Ferrous Technology II,1
Fibonacci Numbers and the Golden Ratio,1
Files and directories in the Linux filesystem,1
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",1
FinTech Foundations and Overview,2
FinTech Law and Policy,1
FinTech: Finance Industry Transformation and Regulation Specialization,3
"FinTech: Foundations, Payments, and Regulations",1
Finalize a Data Science Project,3
Finance & Quantitative Modeling for Analysts Specialization,1
Finance for Managers,1
Finance for Non-Finance Professionals,1
Finance for Non-Financial Managers,1
Finance for Technical Managers Specialization,1
Finance of Mergers and Acquisitions: Valuation and Pricing,1
Financial Accounting Fundamentals,2
Financial Accounting: Foundations,1
Financial Acumen for Non-Financial Managers,2
Financial Analysis - Skills for Success Specialization,1
Financial Analysis of Organizations,1
Financial Engineering and Risk Management Specialization,1
Financial Management Specialization,1
Financial Markets,3
Financial Planning for Young Adults,1
Financial Reporting Specialization,2
Financial Statement Analysis,1
Financial Statement and Ratio Analysis for Accountants,1
Financial Technology (Fintech) Innovations Specialization,5
Financiamiento en proyectos de infraestructura sostenible ,1
Financing Infrastructure in African Cities,2
Financing and Initiating Major Engineering Projects,1
Financing and Investing in Infrastructure,1
Financing for Startup Businesses,1
Finanzas corporativas Specialization,2
Finanzas personales,1
Find Your Calling: Career Transition Principles for Veterans,1
Find a job and submit proposal in Upwork,1
Finding Hidden Messages in DNA (Bioinformatics I),4
Finding Mutations in DNA and Proteins (Bioinformatics VI),1
Finding Purpose and Meaning In Life: Living for What Matters Most,2
Finding Your Professional Voice: Confidence & Impact,1
Finite Element Analysis Convergence and Mesh Independence,1
Fintech Startups in Emerging Markets Specialization,1
Fintech: Foundations & Applications of Financial Technology Specialization,3
Firearm Purchaser Licensing Teach-Out: The Background Check Policy Not Enough People Are Talking About,1
First Order Optical System Design,2
First Principles of Computer Vision Specialization,1
First Steps in Making the Business Case for Sustainability,1
Fitness Corporativo,1
Fitting Statistical Models to Data with Python,1
Fixing Healthcare Delivery,1
Fixing Healthcare Delivery 2.0: Advanced Lean,1
Flight Mechanics - Anemobarometry,1
Flight mechanics - Lift and trajectory,1
Flight mechanics - Propulsive balance and energy,1
Flight mechanics - The basis,2
Flutter Web and Firebase Authentication,1
Fondamentaux de la cybersécurité,1
Fondamentaux de l’infographie,1
Food & Beverage Management,2
Food Ethics,1
"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",1
Football: More than a Game,3
Forensic Accounting and Fraud Examination,1
Form Parsing Using Document AI,1
Formación docente basada en la práctica para desarrollar habilidades del siglo XXI,2
Formadores de Ciudadanía,2
Formal Financial Accounting,1
Formation COVID-19 pour personnels de santé,1
Formação sobre a COVID-19 para Profissionais de Saúde,1
Formula preguntas para tomar decisiones basadas en datos,3
Fornire un feedback utile (Giving Helpful Feedback),1
FortiGate: Protecting Google Compute resources,1
Foundation of Structural Dynamics,2
Foundation to Multi-Cloud,1
Foundational Finance for Strategic Decision Making Specialization,1
Foundational Skills for Communicating About Health,3
Foundational Sustainability Skills & Competencies,1
Foundations for Assisting in Home Care,3
Foundations for Interviewing with Confidence,1
Foundations of AR,2
Foundations of Advanced Wireless Communication,1
Foundations of Business Intelligence,3
Foundations of Business Strategy,1
Foundations of Career Navigating and Coaching,4
Foundations of Computer Science,1
Foundations of Cybersecurity,3
Foundations of Data Science,3
Foundations of Data Science: K-Means Clustering in Python,4
Foundations of Data Structures and Algorithms Specialization,3
Foundations of Digital Marketing and E-commerce,1
"Foundations of Diversity, Equity, and Inclusion",2
Foundations of Global Health Specialization,1
Foundations of Health Equity Research,1
Foundations of Healthcare Systems Engineering,1
Foundations of Hotel Budgeting and Forecasting,1
Foundations of Information Systems for Business,2
Foundations of International Psychiatry,1
Foundations of Management Specialization,3
Foundations of Marketing Analytics Specialization,1
Foundations of Positive Psychology  Specialization,2
Foundations of Project Management,5
Foundations of Public Health Practice Specialization,1
Foundations of Public Health Practice: Behaviour & Behaviour Change,1
Foundations of Public Health Practice: Health Protection,1
Foundations of Public Health Practice: The Public Health Approach,1
Foundations of Public Health Practice: The Public Health Toolkit ,1
Foundations of Quantum Mechanics,1
Foundations of Red Hat Cloud-native Development,1
Foundations of Retail Media,1
Foundations of Secure IoT Architecture,1
Foundations of Sensory Science Specialization,2
Foundations of Software Testing and Validation,1
"Foundations of Sports Analytics: Data, Representation, and Models in Sports",3
Foundations of Strategy,1
Foundations of Teaching for Learning Capstone: The Reflective Practitioner,1
Foundations of Teaching for Learning: Being a Professional,3
Foundations of Teaching for Learning: Being a Teacher,3
Foundations of Teaching for Learning: Curriculum,3
Foundations of Teaching for Learning: Developing Relationships,2
Foundations of Teaching for Learning: Introduction,3
Foundations of Teaching for Learning: Introduction to Student Assessment,2
Foundations of Teaching for Learning: Learners and Learning,2
Foundations of Teaching for Learning: Planning for Teaching and Learning,2
Foundations of Telehealth,1
Foundations of User Experience (UX) Design,1
Foundations of Virtual Instruction ,3
Foundations of strategic business analytics,1
"Foundations: Data, Data, Everywhere",2
Fractal Data Science  Professional Certificate,4
